Name,University/Organization,No_of_times_as_TPC
Doug Blough,Georgia Institute of Technology,2
Silvia Giordano,SUPSI,1
Carla-Fabiana,Chiasserini Polytechnic of Turin,1
Wendi B.,Heinzelman University of Rochester,1
Srdjan Capkun,Technical University of Denmark,1
Xudong Wang,Kiyon Inc.,1
Adriana Lazzaroni,IIT-CNR,1
Haiyun Luo,University of Illinois Urbana Champaign,2
Paolo Santi,IIT-CNR,3
Alessandro Leonardi,University of Catania,1
Elizabeth Belding-Royer,Santa Barbara,1
Carla-Fabiana Chiasserini,Polytechnic of Turin,1
Stephan Eidenbenz,Los Alamos National Laboratory,2
Serge Fdida,University Pierre & Marie Curie,2
J. J. Garcia-Luna-Aceves,Santa Cruz/PARC,1
Mario Gerla,Los Angeles,1
Matthias Grossglauser,EPFL,1
Isabelle Guerin,INRIA,1
Per Gunningberg,Uppsala University,1
Zygmunt Hass,Cornell University,2
Jennifer Hou,University Illinois at Urbana-Champaign,1
Hung-Yun Hsieh,National Taiwan University,1
Holger Karl,University of Paderborn,1
Srikanth Krishnamurthy,Riverside,2
Sung-Ju,HP Labs,1
Li Li,Lucent Technologies,2
Songwu Lu,Los Angeles,1
Prasant Mohapatra,University of California Davis,1
Ramalingam Sridhar,SUNY Buffalo,1
Vikram Srinivasan,National University of Singapore,1
Martha Steenstrup,Clemson Univ and Stow research,1
Violet R. Syrotiuk,Arizona State University,1
Cedric Westphal,Nokia Research Center,1
Alec Wolman,Microsoft Research,2
Aditya Gopalan,Indian Institute of Science Bangalore,1
Sharayu Moharir,Indian Institute of Technology Bombay,2
Nikhil Karamchandani,Indian Institute of Technology Bombay,1
Parimal Parag,Indian Institute of Science Bangalore,1
Himanshu Tyagi,Indian Institute of Science Banglore,1
Siva ja Maguluri,IBM T. J. Watson Research Center,1
Virag Shah,Microsoft Research - Inria Joint Centre,1
R Venkatesha Prasad,TU Delft,1
Hrishikesh Venkataraman,Indian Institute of Information Technology (IIIT),1
Radha Krishna Ganti,Indian Institute of Technology Madras,1
Jayakrishnan Nair,Indian Institute of Technology Bombay,2
Kumar Appaiah,Indian Institute of Technology Bombay,1
Aylin Yener,Pennsylvania State University,1
Carlee Joe-Wong,Carnegie Mellon University,2
Cem Tekin,Bilkent University,1
Dan Rubenstein,Columbia University Do Young Eun,1
Jia Liu,Ohio State University,1
Shibo He,Zhejiang University,2
Steven Weber,Drexel University,1
Venkatesh Ramaiyan,Indian Institute of Technology Chennai,1
Yin Sun,Ohio State University,1
Elif Uysal-Biyikoglu,Middle East Technical University,1
Andrew T. Campbell,Columbia University,1
Tarek Abdelzaher,University of Virginia,1
Giuseppe Bianchi,University of Roma Tor Vergata,1
Costas Busch,RPI,1
Marco Conti,CNR - IIT,1
Thomas Erlebach,Leicester,1
Massimo Franceschetti,University of California San Diego,2
Adrian Friday,Lancaster University,1
J. J. Garcia-Luna-Aceves,Santa Cruz,1
Javier Gomez,National University of Mexico,1
Wei Hong,Intel Research,1
Yih-Chun Hu,Berkeley,1
David Johnson,Rice University,1
Lakshman Krishnamurthy,Intel Corp,1
Madhav Marathe,Los Alamos National Laboratory,1
Hiroyuki Morikawa,University of Tokyo,1
Badri Nath,Rutgers University,1
Maria Papadopouli,University of North Carolina at Chapel Hill,1
Paolo Penna,Salerno,1
Radha Poovendran,University of Washington,1
Rajmohan Rajaraman,Northeastern University,1
